,股票代码,Intercept,回归打分系数,当日大盘系数,Intercept_p,回归打分p,当日大盘p,r2,情绪打分滞后系数,情绪打分滞后p
0,000333,-0.0008001300759831706,0.04056552859430632,0.5869959875672072,0.5886154782350813,0.17621831551217054,1.4784715046556243e-06,0.23830440468182268,0.0005534901208082822,0.9814742666805969
1,000538,0.0006852325854237621,0.006072502289818632,0.5490618664769521,0.7388518645257796,0.6391550712823058,0.0058173530718982555,0.09673410782244207,0.004623430619532064,0.6693805298900193
2,000876,0.0014301868665462477,0.07619629414229163,0.8927210220778592,0.5751573588133623,0.36022273309219766,0.0003598382530175787,0.1262564854573477,-0.003848569370585457,0.9470287663139143
3,002024,-0.001808914446386988,0.004780090066473346,0.7567586496793091,0.1289629217213497,0.6001540813523019,3.2123883272324434e-12,0.39081490079817627,0.000781055938319101,0.9122537818824046
4,002415,0.0016173542183802493,0.07747804617953637,0.831794647945468,0.4098491896439955,0.0683572786460979,1.0477744421054393e-05,0.23795474342575207,-0.019540475207814625,0.5772365223847324
5,600019,-0.0019447242402046393,0.01569435593542553,0.8777956009564086,0.11575201062794434,0.2566653527043925,8.646822055149788e-11,0.3317848067908169,0.00236441559064609,0.851565402531252
6,600050,3.244124559405749e-05,0.017298553849267283,1.26787357602438,0.982230245886981,0.6058772477973462,7.009338840419266e-12,0.3703505825475134,0.017035815356511753,0.5057545308219996
7,600309,0.0014982183663197796,-0.0020452768741887678,0.7893582941177951,0.4706244730898289,0.9401404342006874,1.2268789265650959e-08,0.2700880327725409,0.011757215329212922,0.6109815233114131
8,600547,0.0065953075085560765,0.49515491199771144,-0.3140045662782854,0.07169731742379859,1.7919125675109394e-05,0.4604220352507994,0.18851119473636269,-0.08412953880262135,0.3701982515491118
9,600585,0.000948823686153683,-0.008877965227647456,0.46405517048505046,0.590592174718163,0.3916117029879156,0.013872068758021501,0.12399835210356425,0.002213244167507409,0.7367250311870975
10,600900,-0.00011427114639037946,-0.02760975008055836,0.46823070481110735,0.9170299383490027,0.3046988753401038,0.0007030318234383433,0.10725825785348653,0.015809840501845272,0.44934594232393255
11,601111,-0.0004684363149663659,0.01113108331995111,1.6741401120660921,0.6741587855785228,0.5092454052245564,4.8078659712918436e-20,0.5499603434470939,-0.020778744841669625,0.13677504937631316
12,601318,-0.00011938681766852634,0.03700915385668632,0.5362976454709486,0.9042961231932892,0.14535213027657518,1.6829417151818104e-08,0.3100002352084388,-0.023549905748944496,0.2611263867232756
13,601360,0.001776792572337159,0.01950502506895896,2.248088998159817,0.5087713365333376,0.4756046593666884,3.974447395526656e-12,0.3650746574815348,0.019447352276947234,0.5001630266668187
14,601398,-0.00018248660169868834,0.010605069463101188,0.2096249057173453,0.8154407003997886,0.44490701498776475,0.006965342311596276,0.08058328232166234,0.0024035894340871944,0.834791206209534
15,601668,-0.001090720909957606,0.0305318866826304,0.9490278346736658,0.18782729789872998,0.01235837197078142,1.7988580253232874e-14,0.44519005382474974,-0.004461334464536406,0.7196326507010011
16,601857,0.002067606545004877,0.05294307346265281,0.5828965683144633,0.20953007518273364,0.017040780192116318,1.2866503791769674e-09,0.361372052476319,-0.037071869029974225,0.028001844886979755
17,601888,-7.497257064202043e-05,0.002944167820224507,0.4708120219267028,0.9639288038425646,0.9174393377627763,0.003961082154841934,0.10775981436605286,0.035387681198184646,0.14202318420495472
18,603288,0.0002964093253581879,-0.005537710904120327,0.3704191754591899,0.8994981169936593,0.8429311187393332,0.008720125359927297,0.06881764363371634,0.015375388283348432,0.4495394134860614
