,股票代码,Intercept,回归打分系数,当日大盘系数,Intercept_p,回归打分p,当日大盘p,r2
0,000333,-0.0008128466819376404,0.04098257378236099,0.586900119225684,0.5523725814697915,0.08655513513724819,1.3066831687071394e-06,0.23830054832780112
1,000538,7.310490986720312e-05,0.008545313931238037,0.5573758984934896,0.9698977005605613,0.39387296132465754,0.0032645164327622747,0.0989104454353994
2,000876,0.0014009402475669097,0.07226244894175284,0.892384848301691,0.5754909023255869,0.2149182953358097,0.0003383549719788656,0.12622027137955227
3,002024,-0.0020123051315289377,0.005569207835165456,0.7784022496477906,0.05567958865980502,0.39721317033805803,4.634375292138233e-14,0.4229499376368966
4,002415,0.001487020745169515,0.0662515254984341,0.8206355456188359,0.42615832437728907,0.049345843388517455,6.0716616789937475e-06,0.2346679538247297
5,600019,-0.002030165248573885,0.017098267068635733,0.8755353778677296,0.0761016437897485,0.13988533818651513,6.534424740559358e-11,0.3315650812786214
6,600050,0.0003602570917702092,0.03193633196237129,1.2548884111422507,0.7922175205601126,0.20723276629223417,6.8921161025121064e-12,0.36772700143217274
7,600309,0.0010097796366162785,0.006017476351549489,0.7879606861651363,0.5818525648697199,0.7852415348585037,1.1362125765196336e-08,0.2683125333059404
8,600547,0.005626068740239252,0.43680541167135134,-0.2887550723073631,0.10674970733275053,3.3339752974360227e-06,0.49584646888786255,0.18236961502591154
9,600585,0.0017861018485446746,-0.005749680297412829,0.5563891324085377,0.26478633756067493,0.31604173746735614,0.0013027519444752588,0.15470590820294916
10,600900,9.64610692433237e-05,-0.014525408801415457,0.46587307164080405,0.9274189387590283,0.4789778261157176,0.0007242205102501786,0.1024480642330452
11,601111,-0.00045833767441803494,-0.00400624223675668,1.6682757662533079,0.6824996561106687,0.7674715755825228,7.177482457711956e-20,0.5405074025439349
12,601318,-0.00044973676284513017,0.02038571769979139,0.5459160626582114,0.636043912782061,0.3227403184898018,8.934797783910097e-09,0.3017703098373511
13,601360,0.002287305537815606,0.028036856421428107,2.238775866941315,0.37454054118453606,0.24705077160033556,3.871580232064053e-12,0.36235874925630085
14,601398,-0.0001653855631797228,0.012313342963652675,0.2079127515222077,0.8308043645141748,0.27017979006696846,0.006843894271939306,0.08020769449855181
15,601668,-0.0010604756812502118,0.028436818554730143,0.9515046616573267,0.19610419653088318,0.007573210682900452,1.1248443041192012e-14,0.4445184397661809
16,601857,-0.00012497571471157024,0.02145074515783082,0.593254095947105,0.9254653529242411,0.20853082424541772,1.2115502070136966e-09,0.33175582416696403
17,601888,-0.00037091709182023985,0.027590218614983536,0.4686024461567762,0.8226445030736328,0.23382840535051896,0.004319392182064972,0.08951431787524655
18,603288,-0.000669766413398222,0.008976474027261502,0.37220300330775885,0.7333871238570318,0.6584092010102385,0.008268561069351369,0.06380461961011874
